编号 | 所属模块 | 测试要点 | 预期结果 | 实际结果
TC-F-01 | 工作台 | admin 登录后可见驾驶舱 5 项指标 | 全部显示 | 通过
TC-F-02 | 工作台 | staff 登录后不显示驾驶舱 | 入口隐藏 | 通过
TC-F-11 | 协同待办 | 右滑「接单」后状态变 processing | 状态机流转正确 | 通过
TC-F-12 | 协同待办 | 超时自动退回 pending | 3 分钟内触发 | 通过
TC-F-21 | 消息中心 | @我 Tab 仅过滤含当前用户的消息 | 其他消息不可见 | 通过
TC-F-31 | AI 助手 | staff 提问「驾驶舱」相关问题 | 被 Prompt 拒答并引导 | 通过
TC-F-32 | AI 助手 | 多轮追问保留上下文（5 轮） | 上下文一致 | 通过
TC-I-01 | OpenAPI | APIKey 签名校验通过回源 | 200 + 数据正确 | 通过
TC-I-02 | OpenAPI | 错误签名被拒绝且写入 apilog | 401 + 日志完备 | 通过
TC-C-01 | 兼容性 | iOS 17 / Android 14 正常运行 | UI 无错位 | 通过
TC-S-01 | 安全 | staff 直接请求管理员接口 | 403 Forbidden | 通过
